instrument,staff,measureNumber,offset,duration,frequency,step,octave
Piano,,8,31.0,0.5,783.990871963499,F,5
Piano,,8,31.0,0.5,1108.7305239074892,C,6
Piano,,8,31.5,0.5,554.3652619537443,C,5
Piano,,8,31.5,0.5,783.990871963499,F,5
Piano,,8,31.5,0.5,1108.7305239074892,C,6
Piano,,9,32.0,0.5,523.2511306011974,B,4
Piano,,9,32.0,0.5,830.6093951598907,G,5
Piano,,9,32.0,0.5,1046.5022612023952,B,5
Piano,,9,32.0,0.5,0.0,B,5
Piano,,9,32.5,0.25,415.3046975799451,G,4
Piano,,9,32.75,0.25,830.6093951598907,G,5
Piano,,9,33.0,0.25,415.3046975799451,G,4
Piano,,9,33.25,0.25,830.6093951598907,G,5
Piano,,9,33.5,0.25,466.1637615180899,A,4
Piano,,9,33.75,0.25,830.6093951598907,G,5
Piano,,9,34.0,0.25,523.2511306011974,B,4
Piano,,9,34.25,0.25,830.6093951598907,G,5
Piano,,9,34.5,0.25,554.3652619537443,C,5
Piano,,9,34.75,0.25,830.6093951598907,G,5
Piano,,9,35.0,0.25,622.253967444162,D,5
Piano,,9,35.25,0.25,830.6093951598907,G,5
Piano,,9,35.5,0.25,523.2511306011974,B,4
Piano,,9,35.75,0.25,830.6093951598907,G,5
Piano,,10,36.0,0.25,622.253967444162,D,5
Piano,,10,36.0,0.5,369.99442271163434,F,4
Piano,,10,36.25,0.25,830.6093951598907,G,5
Piano,,10,36.5,0.25,554.3652619537443,C,5
Piano,,10,36.5,0.5,329.62755691286986,E,4
Piano,,10,36.75,0.25,830.6093951598907,G,5
Piano,,10,37.0,0.25,739.988845423269,F,5
Piano,,10,37.0,0.5,440.0,A,4
Piano,,10,37.25,0.25,830.6093951598907,G,5
Piano,,10,37.5,0.25,659.2551138257401,E,5
Piano,,10,37.5,0.5,415.3046975799451,G,4
Piano,,10,37.75,0.25,830.6093951598907,G,5
Piano,,10,38.0,0.25,622.253967444162,D,5
Piano,,10,38.0,0.5,369.99442271163434,F,4
Piano,,10,38.25,0.25,830.6093951598907,G,5
Piano,,10,38.5,0.25,554.3652619537443,C,5
Piano,,10,38.5,0.5,329.62755691286986,E,4
Piano,,10,38.75,0.25,830.6093951598907,G,5
Piano,,10,39.0,0.25,523.2511306011974,B,4
Piano,,10,39.0,0.5,311.1269837220808,D,4
Piano,,10,39.25,0.25,830.6093951598907,G,5
Piano,,10,39.5,0.25,440.0,A,4
Piano,,10,39.5,0.5,277.182630976872,C,4
Piano,,10,39.75,0.25,783.990871963499,F,5
Piano,,11,40.0,0.25,415.3046975799451,G,4
Piano,,11,40.0,0.5,261.6255653005985,B,3
Piano,,11,40.25,0.25,830.6093951598907,G,5
Piano,,11,40.5,0.25,415.3046975799451,G,4
Piano,,11,40.5,0.5,261.6255653005985,B,3
Piano,,11,40.75,0.25,830.6093951598907,G,5
Piano,,11,41.0,0.25,415.3046975799451,G,4
Piano,,11,41.0,0.5,261.6255653005985,B,3
Piano,,11,41.25,0.25,830.6093951598907,G,5
Piano,,11,41.5,0.25,466.1637615180899,A,4
Piano,,11,41.5,0.5,277.182630976872,C,4
Piano,,11,41.75,0.25,830.6093951598907,G,5
Piano,,11,42.0,0.25,523.2511306011974,B,4
Piano,,11,42.0,0.5,311.1269837220808,D,4
Piano,,11,42.25,0.25,830.6093951598907,G,5
Piano,,11,42.5,0.25,554.3652619537443,C,5
Piano,,11,42.5,0.5,329.62755691286986,E,4
Piano,,11,42.75,0.25,830.6093951598907,G,5
Piano,,11,43.0,0.25,622.253967444162,D,5
Piano,,11,43.0,0.5,369.99442271163434,F,4
Piano,,11,43.25,0.25,830.6093951598907,G,5
Piano,,11,43.5,0.25,523.2511306011974,B,4
Piano,,11,43.5,0.5,311.1269837220808,D,4
Piano,,11,43.75,0.25,830.6093951598907,G,5
Piano,,12,44.0,0.25,622.253967444162,D,5
Piano,,12,44.0,0.5,369.99442271163434,F,4
Piano,,12,44.25,0.25,830.6093951598907,G,5
Piano,,12,44.5,0.25,554.3652619537443,C,5
Piano,,12,44.5,0.5,329.62755691286986,E,4
Piano,,12,44.75,0.25,830.6093951598907,G,5
Piano,,12,45.0,0.25,739.988845423269,F,5
Piano,,12,45.0,0.5,440.0,A,4
Piano,,12,45.25,0.25,830.6093951598907,G,5
Piano,,12,45.5,0.25,659.2551138257401,E,5
Piano,,12,45.5,0.5,415.3046975799451,G,4
Piano,,12,45.75,0.25,830.6093951598907,G,5
Piano,,12,46.0,0.25,622.253967444162,D,5
Piano,,12,46.0,0.5,369.99442271163434,F,4
